t,bid,ask,mid,book_bid,book_ask,inventory,cash,pnl,spread
0,99.417465,100.417465,99.917465,99.867465,99.967465,0.000000,0.000000,0.000000,1.000000
1,99.494780,100.494780,99.994780,99.944780,100.044780,0.000000,0.000000,0.000000,1.000000
2,99.357256,100.357256,99.857256,99.807256,99.907256,1.000000,-99.357256,0.500000,1.000000
3,99.278634,100.298634,99.838634,99.788634,99.888634,0.000000,0.941378,0.941378,1.020000
4,99.350608,100.350608,99.850608,99.800608,99.900608,0.000000,0.941378,0.941378,1.000000
5,99.326681,100.326681,99.826681,99.776681,99.876681,-1.000000,101.268059,1.441378,1.000000
6,99.586038,100.606038,100.046038,99.996038,100.096038,0.000000,1.682021,1.682021,1.020000
7,99.776845,100.776845,100.276845,100.226845,100.326845,1.000000,-98.094824,2.182021,1.000000
8,99.679188,100.699188,100.239188,100.189188,100.289188,1.000000,-98.094824,2.144365,1.020000
9,99.654608,100.674608,100.214608,100.164608,100.264608,0.000000,2.579785,2.579785,1.020000
10,99.884759,100.884759,100.384759,100.334759,100.434759,0.000000,2.579785,2.579785,1.000000
11,99.869047,100.869047,100.369047,100.319047,100.419047,1.000000,-97.289263,3.079785,1.000000
12,99.823316,100.843316,100.383316,100.333316,100.433316,2.000000,-197.112579,3.654053,1.020000
13,99.863014,100.903014,100.483014,100.433014,100.533014,3.000000,-296.975593,4.473450,1.040000
14,99.945341,101.005341,100.625341,100.575341,100.675341,3.000000,-296.975593,4.900429,1.060000
15,100.182468,101.242468,100.862468,100.812468,100.912468,4.000000,-397.158062,6.291812,1.060000
16,100.207385,101.287385,100.947385,100.897385,100.997385,5.000000,-497.365447,7.371479,1.080000
17,100.041717,101.141717,100.841717,100.791717,100.891717,5.000000,-497.365447,6.843139,1.100000
18,99.714967,100.814967,100.514967,100.464967,100.564967,5.000000,-497.365447,5.209389,1.100000
19,99.558383,100.658383,100.358383,100.308383,100.408383,5.000000,-497.365447,4.426466,1.100000
20,99.670262,100.770262,100.470262,100.420262,100.520262,4.000000,-396.595185,5.285861,1.100000
21,99.454774,100.534774,100.194774,100.144774,100.244774,4.000000,-396.595185,4.183911,1.080000
22,99.494297,100.574297,100.234297,100.184297,100.284297,4.000000,-396.595185,4.342003,1.080000
23,99.740563,100.820563,100.480563,100.430563,100.530563,4.000000,-396.595185,5.327065,1.080000
24,99.514069,100.594069,100.254069,100.204069,100.304069,5.000000,-496.109255,5.161091,1.080000
25,99.562294,100.662294,100.362294,100.312294,100.412294,6.000000,-595.671549,6.502218,1.100000
26,99.267834,100.387834,100.127834,100.077834,100.177834,7.000000,-694.939383,5.955458,1.120000
27,99.088490,100.228490,100.008490,99.958490,100.058490,7.000000,-694.939383,5.120045,1.140000
28,99.159896,100.299896,100.079896,100.029896,100.129896,7.000000,-694.939383,5.619890,1.140000
29,99.355445,100.495445,100.275445,100.225445,100.325445,7.000000,-694.939383,6.988734,1.140000
30,99.220995,100.360995,100.140995,100.090995,100.190995,6.000000,-594.578388,6.267582,1.140000
31,99.264197,100.384197,100.124197,100.074197,100.174197,6.000000,-594.578388,6.166793,1.120000
